,timestamp,altitude,angle,acceleration
0,2,0,0.0,0
1,4,0,0.0,0
2,4,0,0.0,0
3,6,0,0.0,0
4,6,0,0.0,0
5,6,0,0.0,0
6,8,0,0.0,0
7,8,0,0.0,0
8,8,0,0.0,0
9,8,0,0.0,0
10,8,0,0.0,0
11,8,0,0.0,0
12,8,0,0.0,0
13,8,0,0.0,0
14,8,0,0.0,0
15,8,0,0.0,0
16,8,0,0.0,0
17,8,0,0.0,0
18,8,0,0.0,0
19,8,0,0.0,0
20,8,0,0.0,0
21,8,0,0.0,0
22,8,0,0.0,0
23,17,-0.002,0.0,-0.002
24,17,-0.002,0.0,-0.002
25,17,-0.002,0.0,-0.002
26,20,-0.001,0.0,-0.001
27,20,-0.001,0.0,-0.001
28,20,-0.001,0.0,-0.001
29,22,-0.001,0.0,-0.001
30,22,-0.001,0.0,-0.001
31,24,-0.001,0.0,-0.001
32,25,-0.001,0.0,-0.001
33,25,-0.001,0.0,-0.001
34,25,-0.001,0.0,-0.001
35,25,-0.001,0.0,-0.001
36,25,-0.001,0.0,-0.001
37,25,-0.001,0.0,-0.001
38,25,-0.001,0.0,-0.001
39,25,-0.001,0.0,-0.001
40,25,-0.001,0.0,-0.001
41,33,-0.001,0.0,-0.001
42,33,-0.001,0.0,-0.001
43,33,-0.001,0.0,-0.001
44,33,-0.001,0.0,-0.001
45,36,-0.001,0.0,-0.001
46,36,-0.001,0.0,-0.001
47,36,-0.001,0.0,-0.001
48,36,-0.001,0.0,-0.001
49,36,-0.001,0.0,-0.001
50,36,-0.001,0.0,-0.001
51,36,-0.001,0.0,-0.001
52,41,-0.0008697,0.0,-0.0008697
53,41,-0.0008697,0.0,-0.0008697
54,41,-0.0008697,0.0,-0.0008697
55,41,-0.0008697,0.0,-0.0008697
56,41,-0.0008697,0.0,-0.0008697
57,41,-0.0008697,0.0,-0.0008697
58,41,-0.0008697,0.0,-0.0008697
59,41,-0.0008697,0.0,-0.0008697
60,41,-0.0008697,0.0,-0.0008697
61,50,-0.0006594,0.0,-0.0006594
62,50,-0.0006594,0.0,-0.0006594
63,50,-0.0006594,0.0,-0.0006594
64,50,-0.0006594,0.0,-0.0006594
65,50,-0.0006594,0.0,-0.0006594
66,50,-0.0006594,0.0,-0.0006594
67,50,-0.0006594,0.0,-0.0006594
68,50,-0.0006594,0.0,-0.0006594
69,50,-0.0006594,0.0,-0.0006594
70,58,-0.0006594,0.0,-0.0006594
71,58,-0.0006594,0.0,-0.0006594
72,58,-0.0006594,0.0,-0.0006594
73,58,-0.0006594,0.0,-0.0006594
74,58,-0.0006594,0.0,-0.0006594
75,58,-0.0006594,0.0,-0.0006594
76,58,-0.0006594,0.0,-0.0006594
77,58,-0.0006594,0.0,-0.0006594
78,58,-0.0006594,0.0,-0.0006594
79,58,-0.0006594,0.0,-0.0006594
80,58,-0.0006594,0.0,-0.0006594
81,58,-0.0006594,0.0,-0.0006594
82,58,-0.0006594,0.0,-0.0006594
83,58,-0.0006594,0.0,-0.0006594
84,66,-0.0004491,0.0,-0.0004491
85,66,-0.0004491,0.0,-0.0004491
86,66,-0.0004491,0.0,-0.0004491
87,66,-0.0004491,0.0,-0.0004491
88,66,-0.0004491,0.0,-0.0004491
89,66,-0.0004491,0.0,-0.0004491
90,66,-0.0004491,0.0,-0.0004491
91,66,-0.0004491,0.0,-0.0004491
92,66,-0.0004491,0.0,-0.0004491
93,66,-0.0004491,0.0,-0.0004491
94,66,-0.0004491,0.0,-0.0004491
95,66,-0.0004491,0.0,-0.0004491
96,66,-0.0004491,0.0,-0.0004491
97,74,-0.0002489,0.0,-0.0002489
98,74,-0.0002489,0.0,-0.0002489
99,74,-0.0002489,0.0,-0.0002489
100,74,-0.0002489,0.0,-0.0002489
101,74,-0.0002489,0.0,-0.0002489
102,74,-0.0002489,0.0,-0.0002489
103,74,-0.0002489,0.0,-0.0002489
104,74,-0.0002489,0.0,-0.0002489
105,74,-0.0002489,0.0,-0.0002489
106,74,-0.0002489,0.0,-0.0002489
107,74,-0.0002489,0.0,-0.0002489
108,74,-0.0002489,0.0,-0.0002489
109,82,-0.000182,0.0,-0.000182
110,82,-0.000182,0.0,-0.000182
111,82,-0.000182,0.0,-0.000182
112,82,-0.000182,0.0,-0.000182
113,87,-0.000182,0.0,-0.000182
114,87,-0.000182,0.0,-0.000182
115,87,-0.000182,0.0,-0.000182
116,87,-0.000182,0.0,-0.000182
117,90,-0.0001561,0.0,-0.0001561
118,90,-0.0001561,0.0,-0.0001561
119,90,-0.0001561,0.0,-0.0001561
120,90,-0.0001561,0.0,-0.0001561
121,90,-0.0001561,0.0,-0.0001561
122,90,-0.0001561,0.0,-0.0001561
123,90,-0.0001561,0.0,-0.0001561
124,90,-0.0001561,0.0,-0.0001561
125,90,-0.0001561,0.0,-0.0001561
126,98,-0.0001561,0.0,-0.0001561
127,98,-0.0001561,0.0,-0.0001561
128,98,-0.0001561,0.0,-0.0001561
129,100,-0.0001302,0.0,-0.0001302
130,100,-0.0001302,0.0,-0.0001302
131,100,-0.0001302,0.0,-0.0001302
132,100,-0.0001302,0.0,-0.0001302
133,100,-0.0001302,0.0,-0.0001302
134,104,-0.0001302,0.0,-0.0001302
135,104,-0.0001302,0.0,-0.0001302
136,104,-0.0001302,0.0,-0.0001302
137,107,-0.0001302,0.0,-0.0001302
138,107,-0.0001302,0.0,-0.0001302
139,107,-0.0001302,0.0,-0.0001302
140,107,-0.0001302,0.0,-0.0001302
141,107,-0.0001302,0.0,-0.0001302
142,107,-0.0001302,0.0,-0.0001302
143,107,-0.0001302,0.0,-0.0001302
144,107,-0.0001302,0.0,-0.0001302
145,107,-0.0001302,0.0,-0.0001302
146,115,-0.0001043,0.0,-0.0001043
147,115,-0.0001043,0.0,-0.0001043
148,115,-0.0001043,0.0,-0.0001043
149,115,-0.0001043,0.0,-0.0001043
150,115,-0.0001043,0.0,-0.0001043
151,115,-0.0001043,0.0,-0.0001043
152,115,-0.0001043,0.0,-0.0001043
153,115,-0.0001043,0.0,-0.0001043
154,121,-7.835e-05,0.0,-7.835e-05
155,121,-7.835e-05,0.0,-7.835e-05
156,121,-7.835e-05,0.0,-7.835e-05
157,123,-7.835e-05,0.0,-7.835e-05
158,125,-7.835e-05,0.0,-7.835e-05
159,125,-7.835e-05,0.0,-7.835e-05
160,127,-7.835e-05,0.0,-7.835e-05
161,127,-7.835e-05,0.0,-7.835e-05
162,127,-7.835e-05,0.0,-7.835e-05
163,127,-7.835e-05,0.0,-7.835e-05
164,127,-7.835e-05,0.0,-7.835e-05
165,131,-5.243e-05,0.0,-5.243e-05
166,131,-5.243e-05,0.0,-5.243e-05
167,131,-5.243e-05,0.0,-5.243e-05
168,131,-5.243e-05,0.0,-5.243e-05
169,131,-5.243e-05,0.0,-5.243e-05
170,131,-5.243e-05,0.0,-5.243e-05
171,131,-5.243e-05,0.0,-5.243e-05
172,131,-5.243e-05,0.0,-5.243e-05
173,131,-5.243e-05,0.0,-5.243e-05
174,131,-5.243e-05,0.0,-5.243e-05
175,131,-5.243e-05,0.0,-5.243e-05
176,131,-5.243e-05,0.0,-5.243e-05
177,131,-5.243e-05,0.0,-5.243e-05
178,139,-5.243e-05,0.0,-5.243e-05
179,139,-5.243e-05,0.0,-5.243e-05
180,139,-5.243e-05,0.0,-5.243e-05
181,139,-5.243e-05,0.0,-5.243e-05
182,139,-5.243e-05,0.0,-5.243e-05
183,139,-5.243e-05,0.0,-5.243e-05
184,139,-5.243e-05,0.0,-5.243e-05
185,139,-5.243e-05,0.0,-5.243e-05
186,139,-5.243e-05,0.0,-5.243e-05
187,148,-3.25e-05,0.0,-3.25e-05
188,148,-3.25e-05,0.0,-3.25e-05
189,148,-3.25e-05,0.0,-3.25e-05
190,148,-3.25e-05,0.0,-3.25e-05
191,148,-3.25e-05,0.0,-3.25e-05
192,148,-3.25e-05,0.0,-3.25e-05
193,148,-3.25e-05,0.0,-3.25e-05
194,148,-3.25e-05,0.0,-3.25e-05
195,148,-3.25e-05,0.0,-3.25e-05
196,148,-3.25e-05,0.0,-3.25e-05
197,156,-3.211e-05,0.0,-3.211e-05
198,156,-3.211e-05,0.0,-3.211e-05
199,156,-3.211e-05,0.0,-3.211e-05
200,156,-3.211e-05,0.0,-3.211e-05
201,156,-3.211e-05,0.0,-3.211e-05
202,156,-3.211e-05,0.0,-3.211e-05
203,156,-3.211e-05,0.0,-3.211e-05
204,156,-3.211e-05,0.0,-3.211e-05
205,162,-3.323e-05,0.0,-3.323e-05
206,162,-3.323e-05,0.0,-3.323e-05
207,162,-3.323e-05,0.0,-3.323e-05
208,162,-3.323e-05,0.0,-3.323e-05
209,164,-3.323e-05,0.0,-3.323e-05
